Card Name,Upright Meaning,Reversed Meaning,Major Arcana
Five of Wands,"competition, rivalry, conflict","avoiding conflict, respecting differences",False
Queen of Cups,"compassion, calm, comfort","martyrdom, insecurity, dependence",False
Queen of Wands,"courage, determination, joy","selfishness, jealousy, insecurities",False
Four of Pentacles,"conservation, frugality, security","greediness, stinginess, possessiveness",False
Nine of Swords,"anxiety, hopelessness, trauma","hope, reaching out, despair",False
The Emperor,"authority, structure, control, fatherhood","tyranny, rigidity, coldness",True
Temperance,"middle path, patience, finding meaning","extremes, excess, lack of balance",True
Ten of Cups,"inner happiness, fulfillment, dreams coming true","shattered dreams, broken family, domestic disharmony",False
The High Priestess,"intuitive, unconscious, inner voice","lack of center, lost inner voice, repressed feelings",True
Seven of Cups,"searching for purpose, choices, daydreaming","lack of purpose, diversion, confusion",False
King of Wands,"big picture, leader, overcoming challenges","impulsive, overbearing, unachievable expectations",False
Strength,"inner strength, bravery, compassion, focus","self doubt, weakness, insecurity",True
Judgement,"reflection, reckoning, awakening","lack of self awareness, doubt, self loathing",True
Four of Cups,"apathy, contemplation, disconnectedness","sudden awareness, choosing happiness, acceptance",False
King of Pentacles,"abundance, prosperity, security","greed, indulgence, sensuality",False
Eight of Wands,"rapid action, movement, quick decisions","panic, waiting, slowdown",False
Ace of Wands,"creation, willpower, inspiration, desire","lack of energy, lack of passion, boredom",False
Ten of Pentacles,"legacy, culmination, inheritance","fleeting success, lack of stability, lack of resources",False
Nine of Cups,"satisfaction, emotional stability, luxury","lack of inner joy, smugness, dissatisfaction",False
The Fool,"innocence, new beginnings, free spirit","recklessness, taken advantage of, inconsideration",True
Four of Swords,"rest, restoration, contemplation","restlessness, burnout, stress",False
The Empress,"motherhood, fertility, nature","dependence, smothering, emptiness, nosiness",True
Death,"end of cycle, beginnings, change, metamorphosis","fear of change, holding on, stagnation, decay",True
Two of Cups,"unity, partnership, connection","imbalance, broken communication, tension",False
Nine of Wands,"resilience, grit, last stand","exhaustion, fatigue, questioning motivations",False
Page of Pentacles,"ambition, desire, diligence","lack of commitment, greediness, laziness",False
The Moon,"unconscious, illusions, intuition","confusion, fear, misinterpretation",True
Three of Pentacles,"teamwork, collaboration, building","lack of teamwork, disorganized, group conflict",False
The Sun,"joy, success, celebration, positivity","negativity, depression, sadness",True
Seven of Swords,"deception, trickery, tactics and strategy","coming clean, rethinking approach, deception",False
Seven of Pentacles,"hard work, perseverance, diligence","work without results, distractions, lack of rewards",False
Ace of Cups,"new feelings, spirituality, intuition","emotional loss, blocked creativity, emptiness",False
Eight of Cups,"walking away, disillusionment, leaving behind","avoidance, fear of change, fear of loss",False
The Hierophant,"tradition, conformity, morality, ethics","rebellion, subversiveness, new approaches",True
